"api_name","category"
"c2g__codaIntercompanyTransfer__ChangeEvent","standard"
"c2g__codaIntercompanyTransfer__Feed","standard"
"c2g__codaIntercompanyTransfer__History","standard"
"c2g__codaIntercompanyTransfer__Share","standard"
"c2g__codaIntercompanyTransferLineItem__c","custom"
"c2g__codaIntercompanyTransferLineItem__ChangeEvent","standard"
"c2g__codaIntersectDefinition__c","custom"
"c2g__codaIntersectDefinition__ChangeEvent","standard"
"c2g__codaIntersectDefinition__Share","standard"
"c2g__codaInvoice__c","custom"
"c2g__codaInvoice__ChangeEvent","standard"
"c2g__codaInvoice__History","standard"
"c2g__codaInvoice__Share","standard"
"c2g__codaInvoiceInstallmentLineItem__c","custom"
"c2g__codaInvoiceInstallmentLineItem__ChangeEvent","standard"
"c2g__codaInvoiceInstallmentLineItem__History","standard"
"c2g__codaInvoiceLineItem__c","custom"
"c2g__codaInvoiceLineItem__ChangeEvent","standard"
"c2g__codaInvoiceLineItem__History","standard"
"c2g__codaItem__c","custom"
"c2g__codaItem__ChangeEvent","standard"
